1;Parkour
2;Equitation
3;Basketball
4;Kayak
5;Voile
6;Windsurf
7;Athlétisme
8;Paddle
9;Natation
10;Waterpolo
11;Escalade
12;Aviron
13;Tir à l'arc
14;Bicross
15;Plongeon
16;Golf
17;Tennis
18;Escrime
19;Badminton
20;VTT
21;Triathlon
22;Beachvolley
23;Football
